File,FAQ_Number,Question,Answer,AskAngela Response
Handling Uninformed Absenteeism.txt,16,What is the document ID for this policy?,The document ID is not specified in the provided text.,The policies do not mention specific information about the document ID for this policy. I'm unable to provide details on this particular question.
Handling Uninformed Absenteeism.txt,17,Who is the policy owner and approver?,The People Relations Team is both the policy owner and approver.,The policies do not mention specific information about the policy owner and approver. I'm unable to provide details on this particular question.
Handling Uninformed Absenteeism.txt,18,When did this policy come into effect?,"This policy came into effect on April 1st, 2023.",This policy came into effect on *04 October 2024*.
Handling Uninformed Absenteeism.txt,19,"What resources are available to help employees improve their performance, as mentioned in Annexure D?","Employees can seek guidance from their Line Manager, Skip Level Manager, and the Learning and Development team.  They can also access the Employee Assistance Programme for additional support.","The policies indicate that Annexure D provides a template for a *Performance Enablement Plan* (PEP). This plan is a key resource designed to help employees achieve satisfactory performance levels.

For broader support within the *Performance Enabler Program* (PEP), employees can also seek guidance from their *Line Manager* and *Skip Level Manager* to design action plans, and approach the *Learning and Development* team for further guidance. The policies do not explicitly state that these specific guidance resources are mentioned *within* Annexure D itself."
Handling Uninformed Absenteeism.txt,20,"What is the significance of Annexures A, B, and C in relation to this policy?","Annexures A, B, and C provide additional context regarding performance standards, informal management approaches, and manager guidance for staged meetings, which are relevant to addressing performance issues that may contribute to absenteeism.","The available policies indicate that Annexure-B is referenced for an excel template. However, the policies do not include complete details about the content or significance of Annexure-A or Annexure-C in relation to this policy."
Learning wallet Policy.txt,1,What is the purpose of the Learning Wallet?,"The Learning Wallet provides financial support for Angelites' job-related courses, training, or conferences to enhance skills and align with business goals, fostering career growth.","The Learning Wallet is designed to support Angelites in their career growth. Its purpose is to provide financial support for job-related courses, training, or conferences that help sharpen skills and align with business goals."
Learning wallet Policy.txt,2,What types of learning are covered by the Learning Wallet?,"The Learning Wallet covers external training, online courses, and conferences directly related to an Angelite's role.  It does not cover membership fees, hobbies, books, magazines, digital subscriptions, or gifts.","The Learning Wallet covers *external training*, *online courses*, and *conferences* that are directly related to an Angelite’s role."
Learning wallet Policy.txt,3,What is the Learning Wallet limit for my grade level?,"The limit varies by grade and department (Business & Shared Services, Tech & Product).  Refer to the policy document's table for the specific limit for your grade.","The Learning Wallet limit varies based on your grade level and the department you belong to (either Business and Shared Services or Tech and Product).

To provide you with the correct limit, please specify your grade level and department."
Learning wallet Policy.txt,4,What is the approval process for using the Learning Wallet?,"First, get initial approval from your manager (or skip-level manager) with a business justification.  Then, send the approved request to your Learning Partner (listed in the Contact Matrix) for final approval from the L&D Head.  All approvals are valid for 3 months.","The approval process for using the Learning Wallet involves several key steps that must be completed before an employee enrolls in a course or conference:

- Employees must complete at least 3 months within Angel One to be eligible.
- All necessary pre-approvals need to be in place and documented *prior* to signing up, registering, or making a payment for a course or conference.
- The timeline to obtain these approvals is 15 to 30 days prior to the program's commencement.
- *Initial Approval*: Email your manager (or skip-level manager) with a business justification for the learning opportunity.
- *Final Review*: Once your manager approves, send the email to your Learning Partner for final approval from the L&D Head.

All approvals are valid for a period of 3 months for course registration. This policy is effective from 4th February 2025."
Learning wallet Policy.txt,5,How long before a course do I need to seek approval?,Aim to get approvals 15 to 30 days before the course/conference commences.,You need to seek approval 15 to 30 Days prior to the commencement of the program.
