Queries ,Answer ,AskAngela Response
how can i get my experience letter?,on the alumini portal,,The policies do not mention specific information about how to get an experience letter. I'm unable to provide details on this particular question.
how can i get my relieving letter?,on the alumini portal, ,"To clarify, are you asking about getting a relieving letter from Angel upon your exit, or from a previous employer for joining Angel?

The policies state that if an employee serves their full Notice Period during a Voluntary Exit from Angel, the company will arrange for the *relieving letter* and Final Settlement amount within 45 days from their last day of working, subject to completion of clearance processes.

If you are joining Angel, the *relieving letter* from your previous organization is mandatory and needs to be provided within 60 days post your joining. If you haven't received it, you should reach out to your previous employer as soon as possible."
how can i get both my experience letter and relieving letter?,on the alumini portal,,"Upon serving the full notice period as per company policy during a Voluntary Exit, the company will arrange for your *relieving letter* and Final settlement amount within 45 days from your last day of working.

The policies do not mention specific information about an *experience letter*. I'm unable to provide details on this particular question."
how can i get my experience certificate?,on the alumini portal,,The policies do not mention specific information about how to get your experience certificate. I'm unable to provide details on this particular question.
how can i get my full and final settlement (fnf) documents?,on the alumini portal,,"To receive your Full & Final Settlement, several clearance processes must be completed. These include:

- Obtaining a *No Objection Certificate* (NOC) or *No Dues certificate* from the car leasing company, if applicable.
- Completing clearance with HR, Admin, Finance, and IT departments.
- Surrendering company assets such as your Desktop, Laptop, or Tablet to the IT Team, as the final settlement is released only after asset clearance.
- Securing a *No Dues certificate* signed by your immediate manager, Human Resource function, Accounts, IT, and Operations.

Once these clearances are completed, your Final Settlement and relieving letter will be processed."
how can i get verification of my employment details?,Drop mail on hrhelpdesk@angelone.in,,The policies do not mention specific information about how an employee can get verification of their employment details. I'm unable to provide details on this particular question.
how can i access my cumulative salary slip and form 16 on the alumni portal?,Link of alumini portal shared on the employee's personal email id,,The policies do not mention specific information about accessing cumulative salary slip and Form 16 on an alumni portal. I'm unable to provide details on this particular question.
how can i get an updated experience letter with specific details?,,,The policies do not mention specific information about an updated experience letter. I'm unable to provide details on this particular question.
how can i correct the spelling of my name in company records?,ID proofs are shared with Amit Walke for the correction,,"To correct the spelling of your name in company records, you can do so on the onboarding form. All fields on the onboarding form are *editable*.

If you have already submitted the form, you can connect with your *onboarding spoc* to have the form resent to you for corrections. It is important to ensure your name is spelled correctly as your *official email ID* is created using your FirstName.LastName."
"how can i resolve a query starting with ""dear human resources team"" or similar greetings?",,,"To resolve a query addressed to the Human Resources team, you should submit a formal request.

Here's how you can do it:
- *Submit a request*: You need to write a subject and description for your query. If it's an employee concern, you can choose ""Employee Grievance"" as your issue.
- After submitting the form, a People Relations representative will be assigned to your request. They will get in touch with you within 24 hours of submission.
- Alternatively, you can discuss the matter directly with your Line Manager, HR Business Partner (HRBP), or People Relations. This is recommended if a complaint cannot be resolved through direct discussion or if you don't feel comfortable addressing the issue face to face."
how can i get my last few months' salary slips?,on the alumini portal,,The policies do not mention specific information about obtaining salary slips. I'm unable to provide details on this particular question.
how can i get an employment verification letter?,,,The policies do not mention specific information about how to get an employment verification letter. I'm unable to provide details on this particular question.
how can i get approval for my darwin access?,Specification needed,,The policies do not mention specific information about darwin access approval. I'm unable to provide details on this particular question.
"how can i get form 16 for specific purposes (e.g., home loan, tax)?",on the alumini portal/payrollsupport team,,The policies do not mention specific information about Form 16. I'm unable to provide details on this particular question.
