File,FAQ_Number,Question,Answer
Accidental Policy.txt,1,What is the purpose of this Accidental Insurance policy?,This policy outlines the terms and conditions for benefits related to permanent or temporary disability due to accidents for Angel and its subsidiary employees.
Accidental Policy.txt,2,Who is covered under this policy?,All active employees of Angel and its subsidiary companies are covered from their first day of employment.
Accidental Policy.txt,3,What is the name and number of the insurance provider and policy?,The insurance provider is Care Health Insurance. The GMC Policy Number is 73890039. It's a group policy with member coverage limited to the employee (self).
Accidental Policy.txt,4,How much is my sum assured?,The sum assured depends on your employee grade (M grades or T grades).  Refer to Section 4 of the policy document for the specific amount based on your grade.
Accidental Policy.txt,5,What constitutes Permanent Total Disablement (PTD)?,"PTD means an injury that immediately, permanently, totally, and absolutely disables you from any employment or occupation.  Examples include paralysis (hemiplegia, paraplegia, or quadriplegia), loss of two limbs or two eyes, or one limb and one eye."
Accidental Policy.txt,6,What is the compensation for PTD?,100% of your capital sum insured.
Accidental Policy.txt,7,What is Permanent Partial Disablement (PPD) and what are the benefits?,"PPD covers injuries resulting in permanent but not total disablement (e.g., loss of a finger, hand, leg, or eyesight in one eye). Compensation varies depending on the injury; for example, loss of one eye or hand is 50% of the sum insured.  See the policy for specific percentages."
Accidental Policy.txt,8,What is Temporary Total Disablement (TTD) and how is compensation calculated?,"TTD (weekly benefit) covers injuries causing temporary total disablement (e.g., fracture, burn). Compensation is the lower of 1% of your sum insured per week, Rs. 5000 per week, or your actual weekly salary, up to a maximum of 104 weeks."
Accidental Policy.txt,9,What medical expenses are covered?,"The policy covers reasonable medical expenses up to 40% of a valid claim, 10% of the capital sum insured, or actual expenses, whichever is less."
Accidental Policy.txt,10,Are funeral expenses covered?,"Yes, up to 2% of the capital sum insured or Rs. 2500, whichever is less."
Accidental Policy.txt,11,Is there any coverage for children's education?,"Following a PTD claim, up to Rs. 5000 per child is provided for children's education, for a maximum of two children."
Accidental Policy.txt,12,What are some key exclusions from this policy?,"Exclusions include injuries due to disease, sickness, pregnancy, childbirth, suicide, war,  being under the influence of drugs or alcohol,  illegal activities,  and participation in hazardous activities like winter sports or mountaineering.  Death benefits are also excluded."
Accidental Policy.txt,13,What is the claim procedure?,"Notify your HR within 24-48 hours of the accident. Submit a completed claim form, medical reports, bills, fitness certificate, salary slips, leave certificate, and any relevant police reports or death certificates."
Accidental Policy.txt,14,How are claims settled?,Claims are not settled on a cashless basis. The insurance company pays after the occurrence of specified disabilities. Medical expense reimbursements are the exception.
Accidental Policy.txt,15,Who should I contact for clarification on policy provisions?,Contact aishwarya.iyer@angelbroking.com or rakshatha.shetty@angelbroking.com.
Accidental Policy.txt,16,Who is responsible for interpreting the policy?,The functional policy owners are responsible for interpreting the policy provisions.
Accidental Policy.txt,17,How can exceptions to the policy be approved?,Exceptions require approval from subhash.menon@angelbroking.com.
Accidental Policy.txt,18,Can this policy be changed?,"Yes, Angel One can amend or add to this policy at any time.  Any changes will be communicated in writing."
Accidental Policy.txt,19,What is the contact information for Care Health Insurance?,Contact Care Health Insurance Team at 09821437884 / 7021315038 or prabasini.d@careinsurance.com
Accidental Policy.txt,20,When was this policy approved and when is the next review date?,"This policy was approved on October 31, 2023, and the next review date is October 31, 2024."
Angel Broking Employee Long Term Incentive.txt,1,What is the primary purpose of the Angel Broking Employee Long Term Incentive Plan 2021?,"The plan aims to attract, retain, and motivate key talent; reward high-performing employees; and align individual performance with company objectives to enhance shareholder value and foster a culture of ownership and pay-for-performance."
Angel Broking Employee Long Term Incentive.txt,2,Who is eligible to participate in the Long Term Incentive Plan?,"Eligible employees include permanent employees (in or outside India), directors (excluding independent directors), and employees of subsidiaries or holding companies.  However, promoters, promoter group members, independent directors, and directors holding more than 10% of outstanding equity shares are excluded."
Angel Broking Employee Long Term Incentive.txt,3,What types of LTI Awards are offered under the plan?,"The plan offers three types of LTI awards: Stock Options, Restricted Stock Units (RSUs), and Performance Stock Units (PSUs).  Each has different vesting and exercise periods and conditions."
Angel Broking Employee Long Term Incentive.txt,4,How many shares are reserved for this plan?,"A maximum of 81,80,399 equity shares may be issued.  Annual grants cannot exceed 3% of the company's issued capital, and individual annual grants cannot exceed 1% of issued capital.  Shareholder approval is needed if annual grants reach or exceed 3% of issued capital."
Angel Broking Employee Long Term Incentive.txt,5,How are LTI Awards granted?,"The Nomination and Remuneration Committee selects eligible employees and approves grants.  The offer is made in writing via a grant letter, specifying award type, number of units, exercise price, vesting conditions, and acceptance period."
